"","OR","p.value","adj.P.Val","setSize","numSig","ID","sigGenes"
"Disorders of Sex Development",1.34939200643973,0.0695022165000701,1,1411,47,"MESH:D012734","FAT1;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;SFRP2;RBP4;XDH;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;CLDN1;NTRK2;ATF3;SPP1;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;BDNF;ACE;DOK4;GAD1;PVALB;ROBO1;DDAH1;PRSS23;ETV5;GPT2;TUBB2B;TUBB2A;ZWINT;SYNJ2;IRF6;ST3GAL6;SPRY4;SDC3;DTNA;CRHR2;TYRO3"
"Anemia, Hemolytic",1.25385296722764,0.0734733771786709,1,2826,88,"MESH:D000743","UFD1L;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;TCF4;RHOB;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;NREP;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;FOSB;GAD1;RELN;EFNB3;PHKA2;PRMT2;HIVEP1;GNG4;DPYSL2;PTN;RASGRP1;PRKACB;IQGAP2;FRZB;ENAH;GPT2;CYFIP2;GBE1;TUBB2B;ARHGAP26;TUBB2A;MAP4;PTPRE;PC;PTPRD;PFKP;MATN2;CLIC4;EFHD2;FAM65B;NETO2;GPM6A;RNF144B;IRF6;ST3GAL6;NEK7;GPR137C;LYPD6;CREG2;ST8SIA2"
"Agranulocytosis",1.65701294850252,0.0736191327023358,1,402,16,"MESH:D000380","XDH;APP;CXCR4;IGFBP4;ERBB4;NUDT4;PTGS1;ATF3;MAPK9;GPX3;MAPK3;JUN;ASNS;BDNF;RELN;EFNB3"
"Bronchial Spasm",2.62978618623548,0.0740972463913813,1,85,5,"MESH:D001986","SPP1;MAPK3;JUN;FOSL2;TAC1"
"Carcinoma, Renal Cell",1.62678929587347,0.0752613810051951,1,435,17,"MESH:D002292","SFRP2;IGFBP4;NRG1;NREP;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ACHE;PVALB;L1CAM;ALK"
"Alternating hemiplegia of childhood",30.8729016786571,0.076526216905822,1,2,1,"MESH:C536589","ATP1A3"
"Anorexia Nervosa",30.8729016786571,0.076526216905822,1,3,1,"MESH:D000856","BDNF"
"Bronchiolitis",30.8729016786571,0.076526216905822,1,5,1,"MESH:D001988","SPP1"
"Cerebral Amyloid Angiopathy",30.8729016786571,0.076526216905822,1,2,1,"MESH:D016657","APP"
"Coronary Restenosis",30.8729016786571,0.076526216905822,1,5,1,"MESH:D023903","ACE"
"Fraser Syndrome",30.8729016786571,0.076526216905822,1,2,1,"MESH:D058497","FRAS1"
"Gas Poisoning",30.8729016786571,0.076526216905822,1,6,1,"MESH:D005739","JUN"
"Glycogen Storage Disease",30.8729016786571,0.076526216905822,1,2,1,"MESH:D006008","PHKA2"
"Glycogen Storage Disease Type V",30.8729016786571,0.076526216905822,1,2,1,"MESH:D006012","ACE"
"Granuloma, Plasma Cell",30.8729016786571,0.076526216905822,1,2,1,"MESH:D006104","ALK"
"Hematemesis",30.8729016786571,0.076526216905822,1,2,1,"MESH:D006396","JUN"
"Hypospadias 1, X-Linked",30.8729016786571,0.076526216905822,1,2,1,"MESH:C567482","MAMLD1"
"Inflammatory Breast Neoplasms",30.8729016786571,0.076526216905822,1,3,1,"MESH:D058922","ALK"
"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1",30.8729016786571,0.076526216905822,1,3,1,"OMIM:603933","ACE"
"Neurilemmoma",30.8729016786571,0.076526216905822,1,2,1,"MESH:D009442","WT1"
"Paroxysmal ventricular fibrillation",30.8729016786571,0.076526216905822,1,2,1,"MESH:C537182","DPP6"
"Plasma Cell Granuloma, Pulmonary",30.8729016786571,0.076526216905822,1,2,1,"MESH:D016726","ALK"
"Van Maldergem Wetzburger Verloes syndrome",30.8729016786571,0.076526216905822,1,2,1,"MESH:C536530","DCHS1"
"Mercury Poisoning",1.84379540831154,0.0765903553583456,1,256,11,"MESH:D008630","IFRD1;APP;ATF3;SPP1;MAPK9;GPX3;MAPK3;JUN;ASNS;BDNF;ACHE"
"Pituitary Neoplasms",2.35885461472287,0.0779391459321642,1,107,6,"MESH:D010911","LPL;IGFBP4;MAPK3;BDNF;AGTR1;GDF10"
"Hypoxia-Ischemia, Brain",3.71566265060241,0.0791530721346642,1,35,3,"MESH:D020925","MAPK3;BDNF;PDYN"
"Blindness",1.78254750175932,0.0796575378746556,1,288,12,"MESH:D001766","ANXA5;XDH;APP;LPL;ATF3;SPP1;MAPK9;MAPK3;JUN;RGS2;FOSL2;BDNF"
"Peritonitis",2.05668212054021,0.0808460196517472,1,171,8,"MESH:D010538","APP;CALB1;BCL2L11;SPP1;GPX3;ATF4;MAPK3;JUN"
"Manganese Poisoning",2.95215090867265,0.0822212777156217,1,52,4,"MESH:D020149","APP;MAPK9;MAPK3;JUN"
"Adenoma, Bile Duct",5.62237762237762,0.0827321349670347,1,15,2,"MESH:D002759","SCPEP1;PTPRD"
"Hypertension, Renovascular",5.62237762237762,0.0827321349670347,1,18,2,"MESH:D006978","ACE;AGTR1"
"Scrapie",5.62237762237762,0.0827321349670347,1,14,2,"MESH:D012608","APP;MAPK3"
"Flushing",2.32918689320388,0.0830839852236299,1,113,6,"MESH:D005483","PTGS1;SPP1;MAPK3;JUN;AGTR1;TAC1"
"Infant, Premature, Diseases",2.54316675266939,0.0864538519123503,1,93,5,"MESH:D007235","PTGS1;GPX3;JUN;ACE;TAC1"
"Mitochondrial Diseases",1.36265965395662,0.086760163278862,1,1130,39,"MESH:D028361","SLC27A2;ANXA5;IFRD1;SERPINE2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;EIF2AK3;CLDN1;NREP;NEFH;LAMB1;ABCA1;PTGS1;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;VGF;OPRD1;TUBB2A;PFKP;HSD17B12;THBS2"
"Small Cell Lung Carcinoma",2.3002517080187,0.088425777340938,1,109,6,"MESH:D055752","ERBB4;ATF3;GPX3;ADCY1;TMEM132D;CNTNAP2"
"Anemia, Hemolytic, Autoimmune",1.80440967283073,0.0887262258193182,1,270,11,"MESH:D000744","APP;MTHFD2;PTGS1;ATF3;GPX3;MAPK3;JUN;ASNS;VGF;CYFIP2;GPR137C"
"Hypercalcemia",2.13279423691618,0.0904048273612779,1,158,7,"MESH:D006934","LPL;PTGS1;BCL2L11;SPP1;MAPK3;JUN;BDNF"
"Aphasia",2.88327154252331,0.0904386493562725,1,64,4,"MESH:D001037","ATF3;JUN;BDNF;L1CAM"
"Brain Damage, Chronic",3.57247451343837,0.0907116171101014,1,31,3,"MESH:D001925","EIF2AK3;JUN;BDNF"
"Mucositis",1.47384942433965,0.0913333636380862,1,654,24,"MESH:D052016","SERPINE2;CXCR4;IGFBP4;MTHFD2;GFRA1;NRG1;ERBB4;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;RGS2;BDNF;CNR1;GRIA3;PTPRD;PFKP;MATN2;NR4A3"
"Respiratory Tract Infections",1.47800892301307,0.0963999797940023,1,691,23,"MESH:D012141","DUSP5;EIF2AK3;CLDN1;NEFH;CALB1;ABCA1;ATF3;SPP1;MAPK3;JUN;FOSL2;TAC1;HIVEP1;ARHGAP26;STAMBPL1;UBASH3B;KLF12;GNAL;OPCML;GPR137C;SLC35F3;DISP2;FAT3"
"Carcinoma, Non-Small-Cell Lung",1.50200131120389,0.0986686760452737,1,586,21,"MESH:D002289","DUSP5;TCF4;FAM129A;CXCR4;IGFBP4;MTHFD2;LGALS1;DUSP10;ERBB4;NTRK2;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;RGS2;ALK"
"Ulcer",1.89227185620829,0.101179976455372,1,214,9,"MESH:D014456","XDH;DUSP10;ABCA1;PTGS1;MAPK3;JUN;RGS2;TAC1;ADRA1D"
"Carcinoma, Transitional Cell",1.59216655575625,0.101750210074583,1,421,16,"MESH:D002295","IFRD1;SERPINE2;XDH;TGFBR2;GFRA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;RGS2;BDNF"
"Blister",3.43989290495315,0.103027270921076,1,47,3,"MESH:D001768","CD47;MAPK9;JUN"
"Bronchopulmonary Dysplasia",3.43989290495315,0.103027270921076,1,43,3,"MESH:D001997","TGFB3;TGFBR2;CALB1"
"Hepatolenticular Degeneration",5.15344551282051,0.104414962867296,1,14,2,"MESH:D006527","ANXA5;APP"
"Hypertrophy",0.84727863931966,0.110775438544829,1,10122,243,"MESH:D006984","DPY19L3;SPOCK2;MAST2;ATP13A3;SNX14;TTC39B;WDR6;NRSN1;LRRC23;UFD1L;DCAF7;KLHL13;INF2;SEMA7A;LONRF1;PPP1CC;OLFM3;DCHS1;PCDH17;DPP6;HABP4;MED16;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;EFNB3;PHKA2;HIVEP1;CARS;GNG4;DPYSL2;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;EIF4G2;ROBO1;IQGAP2;HLF;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;GPCPD1;MCC;PEA15;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;SPRY2;TUBB2B;PDZD2;SLC4A8;MOXD1;NUP62CL;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;NR4A3;SYNJ2;LRIG1;FAM65B;HSD17B12;GDF10;SYT1;ELMO1;RGS17;NETO2;GPM6A;RNF144B;BCR;THBS2;GNB4;BTBD11;SLC7A1;IRF6;ST3GAL6;ALPK2;MAPK6;ADARB1;SPRY4;ADCYAP1R1;TCP11L2;SYNGR3;FAM84A;HIP1;CLSTN3;ILDR2;CORIN;OXR1;LAPTM4B;ZNRF1;NEK7;TMTC4;RSPO3;TMEM106B;GFPT2;COL16A1;SSBP3;CALN1;SDC3;UBASH3B;AP2B1;HR;PEG3;CLSTN1;ASAP1;SNX6;KLF12;DTNA;MFAP3L;GNAL;CRHR2;LURAP1L;NECAB1;PTPRU;OPCML;C1QTNF4;MAP6;GABBR2;PAQR8;TRPC6;PYGO1;THSD4;GPR176;TYRO3;PNOC;GPR137C;ST8SIA2;ADRA1D;PCSK1N;ABCA8;PCSK1;STMN2;DFNB31;RASGRF2;SLCO1C1;TMEM245;SRRM4;RIT2;SV2C;KCNMB2;RIMS1;SLC35F3;GPRIN3;DISP2;TLL1;CNNM3;DIRAS2;DLG2;CNTNAP2;GPR83;CA7;SIK3;USP29"
"Multiple Organ Failure",1.91294559099437,0.121208394643535,1,166,8,"MESH:D009102","RHOB;XDH;BCL2L11;ATF4;MAPK3;JUN;BDNF;MATN2"
"Genomic Instability",1.99473202526842,0.127459845378289,1,145,7,"MESH:D042822","STMN3;ERBB4;SPP1;JUN;BDNF;KRT80;NETO2"
"Chills",4.75665680473373,0.127942564096268,1,24,2,"MESH:D023341","MAPK3;JUN"
"Epilepsy, Generalized",4.75665680473373,0.127942564096268,1,18,2,"MESH:D004829","JUN;BDNF"
"Leukoencephalopathy, Progressive Multifocal",4.75665680473373,0.127942564096268,1,15,2,"MESH:D007968","MAPK3;RGS2"
"Opioid-Related Disorders",4.75665680473373,0.127942564096268,1,23,2,"MESH:D009293","BDNF;OPRD1"
"Scleroderma, Systemic",4.75665680473373,0.127942564096268,1,24,2,"MESH:D012595","RHOB;JUN"
"Infarction, Middle Cerebral Artery",2.1161187113857,0.131304781613758,1,123,6,"MESH:D020244","XDH;APP;CXCR4;ATF3;MAPK3;BDNF"
"Mouth Neoplasms",1.6542569423253,0.13227094508094,1,310,12,"MESH:D009062","POU3F3;ANXA5;XDH;CXCR4;IGFBP4;WT1;BCL2L11;ATF3;MAPK9;MAPK3;JUN;BDNF"
"Oral Ulcer",2.28012391397237,0.138196232018121,1,103,5,"MESH:D019226","APP;DUSP10;ATF3;MAPK3;ACHE"
"Kidney Neoplasms",1.21475925255176,0.152137091364269,1,2530,75,"MESH:D007680","WDR6;STMN3;SLC27A2;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;GFRA1;NRG1;CLDN1;ERBB4;NREP;HTRA1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;AGTR1;ABAT;RASGRP1;CIT;FRZB;DDAH1;ETV5;PEA15;GPT2;CYFIP2;GBE1;TUBB2B;CREB3;KRT80;NUP62CL;ZEB2;MAP4;LRP1;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;SYNJ2;HSD17B12;NETO2;RNF144B;IRF6;TMTC1;AP2B1;SNX6;ABCA8"
"Gallbladder Neoplasms",4.4165521978022,0.153030160566934,1,20,2,"MESH:D005706","ERBB4;RGS2"
"Genetic Predisposition to Disease",4.4165521978022,0.153030160566934,1,24,2,"MESH:D020022","ACE;ABAT"
"Micronuclei, Chromosome-Defective",1.15742469757246,0.156641125348209,1,6882,192,"MESH:D048629","SPOCK2;TTC39B;NRSN1;LRRC23;STMN3;FRAS1;SEMA7A;LONRF1;PPP1CC;FEZ1;HABP4;ARHGAP15;ELFN1;CHGB;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;WT1;NREP;ARHGAP5;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;PVALB;PDYN;GRIA3;NPTX2;SNAP25;PHKA2;CARS;GNG4;DPYSL2;ABAT;PTN;NRN1;GUCY1A3;ADCYAP1;EIF4G2;ROBO1;IQGAP2;HLF;CIT;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;GPCPD1;MCC;PEA15;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;RAB3B;SPRY2;TUBB2B;SLC4A8;MOXD1;RAB27B;KRT80;ARHGAP26;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PTPRD;ZWINT;PFKP;MATN2;CLIC4;NR4A3;FAM65B;HSD17B12;GDF10;STAMBPL1;SYT1;ELMO1;RGS17;NETO2;GPM6A;RNF144B;THBS2;BTBD11;SLC7A1;ST3GAL6;MAPK6;TCP11L2;HIP1;CLSTN3;ILDR2;CORIN;LAPTM4B;TMTC4;GFPT2;COL16A1;SSBP3;CALN1;CHRNA6;SLC24A3;TMTC1;USP25;UBASH3B;AP2B1;NTRK3;HAP1;PEG3;ASAP1;KLF12;DTNA;OPCML;C1QTNF4;GABBR2;FURIN;PAQR8;TRPC6;GPR176;TYRO3;PNOC;HDAC9;ADRA1D;PCSK1N;MAN1C1;PCSK1;ALK;STMN2;KCNJ6;AKAP5;DLG2;ZNF195;ZNF365;USP29"
"Fatty Liver, Alcoholic",1.32894700770348,0.157201274150946,1,934,32,"MESH:D005235","FAM129A;XDH;APP;LPL;CXCR4;TIMP3;IGFBP4;DUSP10;BCL2L11;ATF3;SPP1;MAPK9;GPX3;MAPK3;JUN;ASNS;HMGCS1;BDNF;VGF;PRMT2;ABAT;ADCY2;PEA15;TUBB2A;PTPRD;PFKP;GDF10;L1CAM;DTNA;THSD4;IL1RAPL2;DLGAP2"
"Bone Resorption",1.69051044330776,0.158858605050202,1,237,10,"MESH:D001862","CXCR4;EIF2AK3;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;RGS2;BDNF"
"Gallstones",2.47826086956522,0.159139137173003,1,85,4,"MESH:D042882","LPL;BCL2L11;ATF4;JUN"
"Intracranial Aneurysm",2.99510299261562,0.159155864444978,1,40,3,"MESH:D002532","MAPK3;JUN;FOSB"
"Disease Progression",0.221335974698502,0.160720342753,1,160,1,"MESH:D018450","ZEB2"
"Hyperammonemia",1.41804353384727,0.161180891230683,1,557,21,"MESH:D022124","DUSP5;RHOB;XDH;GFRA1;CD47;HTRA1;ABCA1;BCL2L11;ATF4;MAPK3;JUN;HMGCS1;RGS2;BDNF;IQGAP2;ENAH;ARHGAP26;EFHD2;SYT1;KCNJ4;SYT11"
"Hot Flashes",1.46958089540691,0.167729452242854,1,474,17,"MESH:D019584","RHOB;APP;TIMP3;IGFBP4;NTRK2;MAPK3;JUN;HMGCS1;BDNF;GAD1;HTR2C;EFNB3;SYNJ2;GNB4;SDC3;CRHR2;KCNJ6"
"Heavy Metal Toxicity",1.78782242498684,0.171453451964566,1,193,8,"MESH:C535854","APP;SPP1;MAPK3;JUN;ACHE;GBE1;LRP1;MEF2C"
"Gastrointestinal Neoplasms",1.98011774426771,0.175474678665106,1,120,6,"MESH:D005770","SERPINE2;CXCR4;IGFBP4;ATF3;MAPK3;JUN"
"Ischemic Attack, Transient",1.85717553600765,0.178754263705354,1,159,7,"MESH:D002546","APP;ABCA1;ATF3;SPP1;MAPK3;JUN;BDNF"
"Hemiplegia",4.12179487179487,0.179411413719473,1,22,2,"MESH:D006429","BDNF;GAD1"
"Kidney Cortex Necrosis",4.12179487179487,0.179411413719473,1,24,2,"MESH:D007673","SPP1;RAB3B"
"Aging, Premature",15.4352517985612,0.179531613220714,1,3,1,"MESH:D019588","APP"
"Amyloidosis",15.4352517985612,0.179531613220714,1,3,1,"MESH:D000686","ACHE"
"Arnold-Chiari Malformation",15.4352517985612,0.179531613220714,1,4,1,"MESH:D001139","TGFB3"
"Berylliosis",15.4352517985612,0.179531613220714,1,11,1,"MESH:D001607","ACE"
"Chondrosarcoma, Extraskeletal Myxoid",15.4352517985612,0.179531613220714,1,3,1,"MESH:C563195","NR4A3"
"Conjunctival Diseases",15.4352517985612,0.179531613220714,1,7,1,"MESH:D003229","PTGS1"
"Ductus Arteriosus, Patent",15.4352517985612,0.179531613220714,1,5,1,"MESH:D004374","AGTR1"
"Escherichia coli Infections",15.4352517985612,0.179531613220714,1,3,1,"MESH:D004927","CARTPT"
"Fragile X Syndrome",15.4352517985612,0.179531613220714,1,3,1,"MESH:D005600","APP"
"Gaucher Disease",15.4352517985612,0.179531613220714,1,4,1,"MESH:D005776","ACE"
"Heterotopia, Periventricular, Autosomal Recessive",15.4352517985612,0.179531613220714,1,3,1,"MESH:C564292","DCHS1"
"Hypercapnia",15.4352517985612,0.179531613220714,1,3,1,"MESH:D006935","PDYN"
"Hyperphagia",15.4352517985612,0.179531613220714,1,4,1,"MESH:D006963","NTRK2"
"Lymphoma, Large-Cell, Anaplastic",15.4352517985612,0.179531613220714,1,5,1,"MESH:D017728","ALK"
"Mobility Limitation",15.4352517985612,0.179531613220714,1,4,1,"MESH:D051346","JUN"
"Obesity, Morbid",15.4352517985612,0.179531613220714,1,4,1,"MESH:D009767","BDNF"
"Pneumonia, Pneumococcal",15.4352517985612,0.179531613220714,1,6,1,"MESH:D011018","MAPK3"
"Prostatism",15.4352517985612,0.179531613220714,1,3,1,"MESH:D053448","ADRA1D"
"Puerperal Disorders",15.4352517985612,0.179531613220714,1,4,1,"MESH:D011644","BDNF"
"Reflex Sympathetic Dystrophy",15.4352517985612,0.179531613220714,1,9,1,"MESH:D012019","MAPK3"
"Schistosomiasis",15.4352517985612,0.179531613220714,1,3,1,"MESH:D012552","TIMP3"
"Vitamin A Deficiency",15.4352517985612,0.179531613220714,1,5,1,"MESH:D014802","RBP4"
"Retinal Degeneration",2.813143483023,0.190802332503014,1,45,3,"MESH:D012162","ATF4;MAPK3;ACHE"
"Asthenozoospermia",1.54293042380817,0.202211376293538,1,305,12,"MESH:D053627","APP;TIMP3;WT1;BCL2L11;ATF3;MAPK9;GPX3;MAPK3;JUN;RGS2;BDNF;ACHE"
"Mitral Valve Insufficiency",3.86388221153846,0.206843096919739,1,24,2,"MESH:D008944","MAPK3;JUN"
"Gonadal Disorders",1.49853680841335,0.215032413015777,1,370,13,"MESH:D006058","LGALS1;NRG1;ATF3;GPX3;MAPK3;ASNS;HMGCS1;CARS;PRKACB;PSME1;NR4A3;CRHR2;PCSK1"
"Brain Infarction",1.780363766902,0.215409851920479,1,164,7,"MESH:D020520","IGFBP4;WT1;BCL2L11;ATF3;MAPK3;JUN;BDNF"
"Porphyria Cutanea Tarda",1.4285021881994,0.22118766110617,1,474,16,"MESH:D017119","TGFB3;RHOB;LPL;CXCR4;IGFBP4;CALB1;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;RGS2;BDNF;MAP4"
"Immunologic Deficiency Syndromes",2.65197934595525,0.224415462958088,1,65,3,"MESH:D007153","LGALS1;JUN;MOXD1"
"Splenic Diseases",1.62516347301984,0.228443248901634,1,265,9,"MESH:D013158","RHOB;LPL;SPP1;MAPK3;AGTR1;GRIN2B;HIVEP1;SLC7A1;LANCL3"
"Liver Neoplasms, Experimental",0.881503529697281,0.230169560399432,1,7199,172,"MESH:D008114","SPOCK2;MAST2;ATP13A3;SNX14;TTC39B;WDR6;NRSN1;UFD1L;KLHL13;ANKRD29;SEMA7A;LONRF1;PPP1CC;GALNT16;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;GRIA1;GRIN2B;FOSB;GAD1;TAC1;RELN;GRIA3;EFNB3;PHKA2;HIVEP1;CARS;GNG4;DPYSL2;ABAT;PTN;RASGRP1;GUCY1A3;PRKACB;EIF4G2;ROBO1;IQGAP2;HLF;CIT;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;GPCPD1;MCC;PEA15;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;RAB3B;SPRY2;TUBB2B;SLC4A8;CREB3;RAB27B;KRT80;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;NR4A3;SYNJ2;LRIG1;FAM65B;HSD17B12;GDF10;SYT1;ELMO1;NETO2;GPM6A;RNF144B;BCR;THBS2;GNB4;BTBD11;IRF6;ST3GAL6;MAPK6;ADARB1;SPRY4;ADCYAP1R1;TCP11L2;SYNGR3;FAM84A;ILDR2;OXR1;ZNRF1;NEK7;TMTC4;TMEM106B;SCN3B;CHRNA6;AP2B1;CLSTN1;ASAP1;KLF12;GNAL;LURAP1L;FURIN;PNOC"
"Facial Pain",2.21169772256729,0.231642872169819,1,69,4,"MESH:D005157","ARHGAP5;JUN;BDNF;GRIN2B"
"Arsenic Poisoning",0.259257001178718,0.236824925881795,1,149,1,"MESH:D020261","APP"
"Mesothelioma",1.49872395987892,0.238180289756406,1,318,12,"MESH:D008654","TIMP3;IGFBP4;MTHFD2;DUSP10;PTGS1;BCL2L11;ATF3;SPP1;ATF4;MAPK3;JUN;GDF10"
"Hypospadias",1.21726242371404,0.239656807512954,1,1536,48,"MESH:D007021","MAMLD1;HABP4;FAT1;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;LPL;CXCR4;TIMP3;MTHFD2;DUSP10;CD47;HTRA1;NUDT4;BCL2L11;ATF3;SPP1;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;RELN;PRKACB;FRZB;DDAH1;PRSS23;ENAH;SCPEP1;SMARCA2;TUBB2B;ZEB2;TUBB2A;PTPRE;PC;PTPRD;GDF10;BCR;IRF6;C1QTNF4;DPP10"
"Dermatitis, Irritant",2.5781124497992,0.241862337267357,1,60,3,"MESH:D017453","RHOB;TAC1;KLF12"
"Esophageal Squamous Cell Carcinoma",2.17272650224595,0.244742578970319,1,79,4,"MESH:C562729","FAT1;ADCYAP1;PSME1;FAT3"
"Testicular Neoplasms",1.51951951951952,0.246549269702622,1,298,11,"MESH:D013736","CXCR4;TGFBR2;IGFBP4;ERBB4;ATF3;SPP1;MAPK9;GPX3;MAPK3;JUN;BDNF"
"Vascular Malformations",1.34712439085275,0.252101565170966,1,539,20,"MESH:D054079","XDH;ARHGAP5;BCL2L11;JUN;HMGCS1;RGS2;CARTPT;TAC1;ABAT;NRN1;ENAH;ADCY2;SMARCA2;EFHD2;NETO2;GNB4;L1CAM;C1QTNF4;GRIA4;KCNJ6"
"Blindness, Cortical",1.80582524271845,0.253387878620334,1,136,6,"MESH:D019575","XDH;ATF3;SPP1;MAPK3;JUN;BDNF"
"Pericarditis",1.93628934624697,0.254595169760078,1,112,5,"MESH:D010493","HTRA1;ATF3;SPP1;MAPK3;JUN"
"Enteritis",2.13509911710811,0.258096290260184,1,85,4,"MESH:D004751","CD47;MAPK9;MAPK3;JUN"
"Purpura, Thrombotic Thrombocytopenic",2.50823835884077,0.259685908903175,1,48,3,"MESH:D011697","NDNF;ATF4;MAPK3"
"Lupus Nephritis",3.43402777777778,0.264008806666224,1,34,2,"MESH:D008181","SPP1;JUN"
"Nephrosclerosis",3.43402777777778,0.264008806666224,1,29,2,"MESH:D009400","ACE;AGTR1"
"Pituitary Diseases",3.43402777777778,0.264008806666224,1,28,2,"MESH:D010900","MAPK3;BDNF"
"Hypertension, Portal",1.91223507607688,0.265637129882767,1,116,5,"MESH:D006975","XDH;APP;PTGS1;ATF3;MAPK3"
